feature,modality_group,dtypes,shapes,task_count,tasks,example_info
action,action,"[""float32""]",[[10]],8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
end_pose,pose,"[""float32""]",[[6]],8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
episode_index,index,"[""int64""]",[[1]],8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
frame_index,index,"[""int64""]",[[1]],8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
index,index,"[""int64""]",[[1]],8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
observation.forces.left,force,"[""float32""]",[[1]],8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
observation.forces.right,force,"[""float32""]",[[1]],8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
observation.images.phone,vision_video,"[""video""]","[[480, 640, 3]]",8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]","{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
observation.images.phone_depth,depth_image,"[""image""]","[[480, 640, 1]]",8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",
observation.images.wrist,vision_video,"[""video""]","[[480, 640, 3]]",8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]","{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
