task,modality_group,feature,source,declared_dtype,shape,files,frames_or_rows,count_source,fps,bytes,bytes_human,details
429_erase_board_lerobot,pose,start_pose,info,float32,[6],,31342,declared_expected,24,,,
429_erase_board_lerobot,pose,end_pose,info,float32,[6],,31342,declared_expected,24,,,
429_erase_board_lerobot,action,action,info,float32,[10],,31342,declared_expected,24,,,
429_erase_board_lerobot,state,observation.state,info,float32,[10],,31342,declared_expected,24,,,
429_erase_board_lerobot,state,observation.state_phone,info,float32,[6],,31342,declared_expected,24,,,
429_erase_board_lerobot,vision_video,observation.images.wrist,info,video,"[480, 640, 3]",,31342,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
429_erase_board_lerobot,vision_video,observation.images.phone,info,video,"[480, 640, 3]",,31342,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
429_erase_board_lerobot,depth_image,observation.images.phone_depth,info,image,"[480, 640, 1]",,31342,declared_expected,24,,,
429_erase_board_lerobot,tactile_video,observation.tactiles.left,info,video,"[224, 224, 3]",,31342,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
429_erase_board_lerobot,tactile_video,observation.tactiles.right,info,video,"[224, 224, 3]",,31342,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 224, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 224}"
429_erase_board_lerobot,force,observation.forces.left,info,float32,[1],,31342,declared_expected,24,,,
429_erase_board_lerobot,force,observation.forces.right,info,float32,[1],,31342,declared_expected,24,,,
429_erase_board_lerobot,index,timestamp,info,float32,[1],,31342,declared_expected,24,,,
429_erase_board_lerobot,index,frame_index,info,int64,[1],,31342,declared_expected,24,,,
429_erase_board_lerobot,index,episode_index,info,int64,[1],,31342,declared_expected,24,,,
429_erase_board_lerobot,index,index,info,int64,[1],,31342,declared_expected,24,,,
429_erase_board_lerobot,index,task_index,info,int64,[1],,31342,declared_expected,24,,,
429_erase_board_lerobot,action,action,data_parquet,float32,[10],5,31342,parquet_rows,24,1179684,1.1 MiB,"{""uncompressed_bytes"": 1270811}"
429_erase_board_lerobot,pose,end_pose,data_parquet,float32,[6],5,31342,parquet_rows,24,31326,30.6 KiB,"{""uncompressed_bytes"": 116178}"
429_erase_board_lerobot,index,episode_index,data_parquet,int64,[1],5,31342,parquet_rows,24,21204,20.7 KiB,"{""uncompressed_bytes"": 20344}"
