modality_group,feature,source,task_count,tasks,files,frames_or_rows,bytes,bytes_human
action,action,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,9539655,9.1 MiB
depth_image,observation.images.phone_depth,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,3679303746,3.4 GiB
force,observation.forces.left,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,299603,292.6 KiB
force,observation.forces.right,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,582992,569.3 KiB
index,episode_index,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,155553,151.9 KiB
index,frame_index,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,1420694,1.4 MiB
index,index,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,1425756,1.4 MiB
index,task_index,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,155553,151.9 KiB
index,timestamp,data_parquet,8,"[""429_erase_board_lerobot"", ""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot"", ""501_bread_moving_lerobot"", ""505_screw_lerobot"", ""505_stiring_lerobot"", ""506_open_bottle_lerobot"", ""506_peg_flowers_lerobot""]",39,250065,1385772,1.3 MiB
latent,observation.images.wrist,latent_files,2,"[""430_clamp_seal_lerobot"", ""430_towel_hanging_lerobot""]",437,68056,2361736841,2.2 GiB
